timestamp,city,temperature,description
2026-03-31T02:23:34.182Z,Antalya,13.79,clear sky
2026-03-31T05:44:00.286Z,Antalya,13.91,clear sky
2026-03-31T07:13:52.369Z,Antalya,15.33,clear sky
2026-03-31T08:59:12.014Z,Antalya,15.1,clear sky
2026-03-31T10:52:04.196Z,Antalya,18.33,scattered clouds
2026-03-31T13:17:41.164Z,Antalya,16.58,few clouds
2026-03-31T15:01:25.363Z,Antalya,16.5,scattered clouds
2026-03-31T16:56:48.905Z,Antalya,17.33,broken clouds
2026-03-31T19:01:46.326Z,Antalya,16.33,broken clouds
2026-03-31T20:41:50.113Z,Antalya,15.33,broken clouds
2026-03-31T22:34:08.812Z,Antalya,15.33,broken clouds
2026-04-01T02:33:20.144Z,Antalya,13.33,broken clouds
2026-04-01T05:54:27.139Z,Antalya,14.33,broken clouds
2026-04-01T07:20:07.765Z,Antalya,16.33,moderate rain
2026-04-01T09:04:01.361Z,Antalya,17.33,moderate rain
2026-04-01T10:55:35.219Z,Antalya,19.33,moderate rain
2026-04-01T13:21:13.566Z,Antalya,17.33,light intensity shower rain
2026-04-01T15:03:37.714Z,Antalya,17,light rain
2026-04-01T16:54:35.142Z,Antalya,16.33,light intensity shower rain
2026-04-01T19:01:35.441Z,Antalya,14.33,shower rain
2026-04-01T20:42:23.533Z,Antalya,13.33,shower rain
2026-04-01T22:36:55.042Z,Antalya,13.33,shower rain
2026-04-02T02:12:01.721Z,Antalya,13.33,shower rain
2026-04-02T05:41:23.183Z,Antalya,13.33,broken clouds
2026-04-02T07:12:20.099Z,Antalya,14.33,broken clouds
2026-04-02T08:56:27.835Z,Antalya,17.33,broken clouds
2026-04-02T10:51:10.960Z,Antalya,18.33,broken clouds
2026-04-02T13:13:02.826Z,Antalya,19.33,scattered clouds
2026-04-02T14:55:55.853Z,Antalya,18.33,scattered clouds
2026-04-02T16:56:01.661Z,Antalya,17.33,few clouds
2026-04-02T18:56:40.269Z,Antalya,17.33,scattered clouds
2026-04-02T20:34:36.221Z,Antalya,16.33,scattered clouds
2026-04-02T22:30:49.309Z,Antalya,16.33,scattered clouds
2026-04-03T02:13:34.532Z,Antalya,13.33,broken clouds
2026-04-03T05:41:33.051Z,Antalya,12.33,mist
2026-04-03T07:08:16.505Z,Antalya,14.33,dust
2026-04-03T08:53:50.496Z,Antalya,16.33,dust
2026-04-03T10:42:25.871Z,Antalya,16.33,broken clouds
2026-04-03T13:02:48.721Z,Antalya,17.33,broken clouds
2026-04-03T14:41:37.709Z,Antalya,17.33,broken clouds
2026-04-03T16:39:28.611Z,Antalya,15.33,broken clouds
2026-04-03T18:46:46.594Z,Antalya,13.33,broken clouds
2026-04-03T20:35:48.450Z,Antalya,13.33,broken clouds
2026-04-03T22:32:46.373Z,Antalya,12.33,broken clouds
2026-04-04T02:06:36.351Z,Antalya,10.33,broken clouds
2026-04-04T05:20:51.476Z,Antalya,12.33,broken clouds
2026-04-04T07:00:34.000Z,Antalya,14.33,broken clouds
2026-04-04T08:39:49.006Z,Antalya,13.33,light intensity shower rain
2026-04-04T10:33:20.371Z,Antalya,14.33,light rain
2026-04-04T12:54:47.701Z,Antalya,15.33,broken clouds
2026-04-04T14:33:19.478Z,Antalya,14.33,light intensity shower rain
2026-04-04T16:35:17.712Z,Antalya,15.33,broken clouds
2026-04-04T18:41:59.441Z,Antalya,13.33,broken clouds
2026-04-04T20:31:09.643Z,Antalya,12.33,scattered clouds
2026-04-04T22:28:54.603Z,Antalya,11.33,broken clouds
2026-04-05T02:27:49.822Z,Antalya,11.33,broken clouds
2026-04-05T05:44:09.541Z,Antalya,12.33,broken clouds
2026-04-05T07:06:02.427Z,Antalya,15.33,broken clouds
2026-04-05T08:42:02.862Z,Antalya,17.33,broken clouds
2026-04-05T10:33:34.393Z,Antalya,18.33,scattered clouds
2026-04-05T12:56:50.094Z,Antalya,18.33,scattered clouds
2026-04-05T14:35:00.743Z,Antalya,18.33,scattered clouds
2026-04-05T16:36:07.511Z,Antalya,16.33,broken clouds
2026-04-05T18:42:51.320Z,Antalya,15.33,broken clouds
2026-04-05T20:33:00.575Z,Antalya,14.33,broken clouds
2026-04-05T22:30:23.249Z,Antalya,13.33,broken clouds
2026-04-06T02:29:12.793Z,Antalya,13.33,broken clouds
2026-04-06T05:58:36.831Z,Antalya,15.33,few clouds
2026-04-06T07:57:36.590Z,Antalya,18.33,few clouds
2026-04-06T09:15:44.544Z,Antalya,17.3,clear sky
2026-04-06T10:56:28.739Z,Antalya,17.87,clear sky
2026-04-06T13:09:17.405Z,Antalya,18.12,clear sky
2026-04-06T14:46:07.015Z,Antalya,19.33,scattered clouds
2026-04-06T16:47:00.568Z,Antalya,17.07,few clouds
2026-04-06T18:58:39.095Z,Antalya,17.33,broken clouds
2026-04-06T20:37:04.013Z,Antalya,16.33,broken clouds
2026-04-06T22:36:00.528Z,Antalya,15.2,scattered clouds
2026-04-07T02:24:17.239Z,Antalya,11.33,clear sky
2026-04-07T05:46:27.102Z,Antalya,16.25,clear sky
2026-04-07T07:16:32.297Z,Antalya,16.76,clear sky
2026-04-07T09:02:07.410Z,Antalya,17.34,clear sky
2026-04-07T10:54:48.286Z,Antalya,17.76,clear sky
2026-04-07T13:18:16.925Z,Antalya,19.33,scattered clouds
2026-04-07T15:07:29.308Z,Antalya,17.99,clear sky
2026-04-07T16:58:30.213Z,Antalya,17.09,clear sky
2026-04-07T19:03:02.997Z,Antalya,16.93,clear sky
2026-04-07T20:47:00.337Z,Antalya,16.3,clear sky
2026-04-07T22:37:25.449Z,Antalya,13.33,clear sky
2026-04-08T02:25:08.285Z,Antalya,15.73,overcast clouds
2026-04-08T05:46:36.009Z,Antalya,15.33,clear sky
2026-04-08T07:18:58.520Z,Antalya,16.8,clear sky
2026-04-08T09:00:38.613Z,Antalya,18.33,few clouds
2026-04-08T10:55:17.963Z,Antalya,17.63,clear sky
2026-04-08T13:19:28.269Z,Antalya,17.58,scattered clouds
2026-04-08T15:10:00.143Z,Antalya,17.53,scattered clouds
2026-04-08T17:01:42.665Z,Antalya,17.15,scattered clouds
2026-04-08T19:15:03.248Z,Antalya,16.47,overcast clouds
2026-04-08T20:41:54.531Z,Antalya,17.2,overcast clouds
2026-04-08T22:38:31.429Z,Antalya,16.97,broken clouds
2026-04-09T02:11:24.708Z,Antalya,15.69,clear sky
2026-04-09T05:48:19.507Z,Antalya,14.33,few clouds
2026-04-09T07:21:53.946Z,Antalya,16.97,clear sky
2026-04-09T09:07:34.191Z,Antalya,16.33,broken clouds
2026-04-09T10:58:15.779Z,Antalya,17.34,light rain
2026-04-09T13:27:16.210Z,Antalya,15.33,broken clouds
2026-04-09T15:22:48.997Z,Antalya,15.06,light rain
2026-04-09T17:07:20.294Z,Antalya,11.33,broken clouds
2026-04-09T19:06:16.941Z,Antalya,14.02,broken clouds
2026-04-09T20:51:30.812Z,Antalya,10.33,scattered clouds
2026-04-09T22:40:12.971Z,Antalya,10.33,few clouds
2026-04-10T02:30:53.458Z,Antalya,9.33,clear sky
2026-04-10T05:57:33.756Z,Antalya,15.16,few clouds
2026-04-10T07:51:22.947Z,Antalya,16.33,clear sky
2026-04-10T09:08:57.519Z,Antalya,17.25,clear sky
2026-04-10T10:54:27.516Z,Antalya,16.7,clear sky
2026-04-10T13:09:10.804Z,Antalya,16.97,clear sky
2026-04-10T14:47:54.169Z,Antalya,16.64,scattered clouds
2026-04-10T16:51:11.653Z,Antalya,16.49,broken clouds
2026-04-10T18:51:57.998Z,Antalya,15.33,scattered clouds
2026-04-10T20:36:27.042Z,Antalya,14.75,broken clouds
2026-04-10T22:37:02.199Z,Antalya,11.33,clear sky
2026-04-11T02:09:55.667Z,Antalya,13.97,overcast clouds
2026-04-11T05:24:22.595Z,Antalya,14.03,light rain
2026-04-11T07:00:43.399Z,Antalya,15.97,overcast clouds
2026-04-11T08:41:45.257Z,Antalya,17.53,overcast clouds
2026-04-11T10:33:13.303Z,Antalya,18.31,broken clouds
2026-04-11T12:56:37.158Z,Antalya,17.19,few clouds
2026-04-11T14:36:00.766Z,Antalya,16.97,scattered clouds
2026-04-11T16:36:16.502Z,Antalya,16.77,scattered clouds
2026-04-11T18:43:20.619Z,Antalya,16.33,scattered clouds
2026-04-11T20:33:21.785Z,Antalya,15.15,broken clouds
2026-04-11T22:31:59.244Z,Antalya,15.33,clear sky
2026-04-12T02:32:26.814Z,Antalya,13.33,clear sky
2026-04-12T05:53:29.112Z,Antalya,15.9,clear sky
2026-04-12T07:13:14.004Z,Antalya,17.14,clear sky
2026-04-12T08:47:07.842Z,Antalya,18.33,few clouds
2026-04-12T10:38:05.163Z,Antalya,19.62,clear sky
2026-04-12T13:00:31.024Z,Antalya,18.62,clear sky
2026-04-12T14:38:26.652Z,Antalya,18.31,scattered clouds
2026-04-12T16:38:45.363Z,Antalya,17.33,few clouds
2026-04-12T18:49:47.959Z,Antalya,17.18,clear sky
2026-04-12T20:35:48.634Z,Antalya,15.33,clear sky
2026-04-12T22:34:16.024Z,Antalya,16.07,clear sky
2026-04-13T02:38:00.145Z,Antalya,12.33,clear sky
2026-04-13T06:13:45.210Z,Antalya,15.82,clear sky
2026-04-13T09:54:14.779Z,Antalya,20.33,clear sky
2026-04-13T11:16:41.656Z,Antalya,17.67,scattered clouds
2026-04-13T13:25:06.546Z,Antalya,19.33,clear sky
2026-04-13T15:15:01.946Z,Antalya,18.33,scattered clouds
2026-04-13T17:02:59.984Z,Antalya,16.63,scattered clouds
2026-04-13T19:13:48.422Z,Antalya,14.33,clear sky
2026-04-13T20:55:24.800Z,Antalya,15.76,few clouds
2026-04-13T22:42:38.495Z,Antalya,11.33,clear sky
2026-04-14T02:31:19.694Z,Antalya,15.06,few clouds
2026-04-14T06:00:04.610Z,Antalya,16.17,light rain
2026-04-14T08:00:27.409Z,Antalya,16.75,overcast clouds
2026-04-14T11:02:28.403Z,Antalya,18.33,moderate rain
2026-04-14T13:24:45.227Z,Antalya,18.33,light rain
2026-04-14T15:12:43.406Z,Antalya,16.96,overcast clouds
2026-04-14T17:06:47.603Z,Antalya,17.33,light rain
2026-04-14T19:14:40.126Z,Antalya,17.24,light rain
2026-04-14T20:53:25.651Z,Antalya,17.27,overcast clouds
2026-04-14T22:44:15.436Z,Antalya,17.3,overcast clouds
2026-04-15T02:29:34.886Z,Antalya,14.33,broken clouds
2026-04-15T05:59:54.083Z,Antalya,19.04,overcast clouds
2026-04-15T08:01:21.309Z,Antalya,19.33,broken clouds
2026-04-15T10:59:02.271Z,Antalya,18.9,overcast clouds
2026-04-15T13:23:46.740Z,Antalya,23.33,broken clouds
2026-04-15T15:04:52.487Z,Antalya,18.97,overcast clouds
2026-04-15T17:03:37.745Z,Antalya,21.33,broken clouds
2026-04-15T19:17:13.267Z,Antalya,18.33,broken clouds
2026-04-15T20:47:38.321Z,Antalya,20.23,overcast clouds
2026-04-15T22:40:18.231Z,Antalya,19.91,overcast clouds
2026-04-16T02:36:24.973Z,Antalya,17.33,broken clouds
2026-04-16T06:00:49.997Z,Antalya,20.9,broken clouds
2026-04-16T09:18:53.517Z,Antalya,23.61,scattered clouds
2026-04-16T11:02:30.741Z,Antalya,24.33,broken clouds
2026-04-16T13:42:55.689Z,Antalya,23.33,broken clouds
2026-04-16T15:28:38.958Z,Antalya,21.33,broken clouds
2026-04-16T17:13:43.397Z,Antalya,19.54,overcast clouds
